word1;word2;human_score
cord;smile;0.002
rooster;voyage;0.004
noon;string;0.004
fruit;furnace;0.005
autograph;shore;0.006
automobile;wizard;0.011
mound;stove;0.014
grin;implement;0.018
asylum;fruit;0.019
asylum;monk;0.039
graveyard;madhouse;0.042
glass;magician;0.044
boy;rooster;0.044
cushion;jewel;0.045
monk;slave;0.057
asylum;cemetery;0.079
coast;forest;0.085
grin;lad;0.088
shore;woodland;0.09
monk;oracle;0.091
boy;sage;0.096
automobile;cushion;0.097
mound;shore;0.097
lad;wizard;0.099
forest;graveyard;0.1
food;rooster;0.109
cemetery;woodland;0.118
shore;voyage;0.122
bird;woodland;0.124
coast;hill;0.126
furnace;implement;0.137
crane;rooster;0.141
hill;woodland;0.148
car;journey;0.155
cemetery;mound;0.169
